Sr. no.,tweets,sentiment,classification
878,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
879,coronaviruscare Italy is not afraid to tell the truth,neutral,opinion
880,coronaviruscare Still iran do not talks about real numbers,neutral,opinion
881,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
882,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
883,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
884,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
885,coronaviruscare No way are the Chinese or Iranian numbers accurate,neutral,reporting
886,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
887,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
888,coronaviruscare Very sad for Italy,neutral,opinion
889,A group of Dutch researchers from Erasmus Medical Center and Utrecht University have reported a human monoclonal antib,neutral,opinion
890,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
891,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
892,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
893,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
894,coronaviruscare Only because we do not know the real numbers out of China and Iran,neutral,opinion
895,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
896,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
897,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
898,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
899,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
900,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
901,JenniferJJacobs Interesting I would imagine everyone in a meeting with Trump would have a temperature exceeding one hundred realDonaldTrump POTUS covid19 coronavirus coronaviruscare,neutral,opinion
902,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
903,BREAKING Apple closes all stores across world outside China due to Covid19,neutral,opinion
904,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
905,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
906,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
907,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
908,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
909,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
910,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
911,"COVID19 five thousand, seven hundred and ninety-eight deaths worldwide one thousand, four hundred and forty-one in Italy itself twenty-five deaths have happened in Italy",neutral,reporting
912,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
913,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
914,Is it an allergy The flu Or the Coronavirus A quick recap of symptoms,neutral,opinion
915,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
916,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
917,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
918,goairlinesindia GoAirFlights coronaviruscare Trying to reach out to you since last two days and was put on hold for more than thirty min still could not contact Kindly reschedule my flight G8633 from Ahmedabad to Pune on 15th march,neutral,reporting
919,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
920,Doctors in India claim to have successfully treated an Italian COVID19 patient with a combination of Lopinavir Riton,neutral,opinion
921,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
922,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
923,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
924,The situation will be after the coronaviruscare ends,neutral,opinion
925,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
926,Doctors in India claim to have successfully treated an Italian COVID19 patient with a combination of Lopinavir Riton,neutral,opinion
927,Felix_Walper coronaviruscare They have a really old population 2x people over sixty-five compared to South Korea for example Also doctors are sending old people home to die and looking after the young Germany has a similar ratio of elderly,neutral,opinion
928,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
929,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
930,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
931,TonyChapman NEWSTALK1010 coronaviruscare Thanks for sharing Tony,neutral,opinion
932,DEVGANDHI1988 Felix_Walper coronaviruscare Because maybe they slept with chiness,neutral,opinion
933,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
934,mukhtiar_gmail coronaviruscare Hah Just wait and watch You pukis are going to be Italy and chinkis combined After all you are iron brothers with your Chinese masters are not you,neutral,opinion
935,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
936,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
937,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
938,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
939,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
940,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
941,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
942,ngu_nonsh PlaywordsSD EswatiniGovern1 WHO eduint CANGO3 oajry SaskFi coronaviruscare ilo_pretoria USEmbEswatini UEswatini Thank you We will,neutral,opinion
943,Is it an allergy The flu Or the Coronavirus A quick recap of symptoms,neutral,opinion
944,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
945,Felix_Walper coronaviruscare even i am wondering y so many cases on in italy,neutral,reporting
946,coronaviruscare Gosh they never deserved this,neutral,opinion
947,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
948,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
949,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
950,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
951,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
952,coronaviruscare scary may god proctect ppl of italy,neutral,opinion
953,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
954,Kuwait changes Muslims worship pattern after Coronavirus outbreak COVID19Update CoronaVid19 coronaviruscare,neutral,opinion
955,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
956,coronaviruscare Why do they have so many more deaths compared to the rest of the world,neutral,opinion
957,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
958,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
959,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
960,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
961,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
962,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
963,"BREAKING Italy reports three thousand, four hundred and ninety-seven new cases amp one hundred and seventy-five new deaths Total cases increase to twenty-one thousand, one hundred and fifty-seven and total deaths increase to",neutral,reporting
964,coronaviruscare That is scary,neutral,opinion
965,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
966,Doctors in India claim to have successfully treated an Italian COVID19 patient with a combination of Lopinavir Riton,neutral,opinion
967,Timely gesture But the US needs more Way more,neutral,opinion
968,lindyloudoo TheCoronas This is not how to practice SocialDistancingNow SocialDistancing keep your distance stay at hom,neutral,opinion
969,Drive through covid testing please convert burger kings McDonalds fast food drive thrus into testing centers NOW is the time McDonalds BurgerKing NIH CDCgov SaadOmer3 JoeBiden RizwanSohailMD PeterHotez SpeakerPelosi coronaviruscare realDonaldTrump Mike_Pence,anger,opinion
970,coronaviruscare surprise toiletpaper ToiletPaperPanic CoronaVirusSeattle coronavirusnewyork CoronaOutbreak Coronavirustexas CoronaVirusNC coronavirusindia CoronaVirusUpdate Coronavirusflorida CoronavirusUSA coronavirusus,neutral,opinion
971,KayCurtin1 TheCoronas CoronavirusInf7 coronaviruscare Brilliant photo SocialDistancingNow,neutral,opinion
972,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
973,lindyloudoo TheCoronas This is not how to practice SocialDistancingNow SocialDistancing keep your distance stay at home CloseThePubs protect voicesofthevulnerable CoronavirusInf7 coronaviruscare,neutral,opinion
974,DrSeps coronaviruscare ministeriosalud colmedchile ColMedSantiago subgap adnradiochile futurofm CNNChile Crack,neutral,opinion
975,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
976,StanderDI olga_02138 BradGuayWX aoteh RMS steve_e ILSBermuda ils_london intelligentils ILSdiva Fiona_InsideTR rein4cePR rein4ceCaitlin GeogheganMC robgalb ERGO_Horby TropMedOxford PeterHorby UN_JWFOWLER HelenClarkNZ ScheuerJo PrecoveryLabs Marc4D_risk VividEconomics IsChinar Alice_C_Hill MuhtariAdanan NCNA Berkmic TheLancetInfDis MRC_Outbreak andrewgregory thesundaytimes ABIR_Bermuda UniofNottingham BritSciAssoc SunSentinel HelloMarciano she will LaurenSorkin18 COVID_19NEWS Beaubier V2019N subgap SophieEvansRisk CentreForDP coronaviruscare SavingHongKong RobertMuirWood AmyCarterNZ I know the village well,neutral,opinion
977,Timely gesture But the US needs more Way more,neutral,opinion
978,olga_02138 BradGuayWX aoteh RMS steve_e ILSBermuda ils_london intelligentils ILSdiva Fiona_InsideTR rein4cePR re,neutral,opinion
979,Doctors in India claim to have successfully treated an Italian COVID19 patient with a combination of Lopinavir Riton,neutral,opinion
980,meuande Nordic_News coronaviruscare CoronaEnglish swissinfo_en HumanSecurityCH BAG_INT Covid19Norway Aftenposten LeTemps_Data srfnews RadioTeleSuisse let us hope so,neutral,opinion
981,Doctors in India claim to have successfully treated an Italian COVID19 patient with a combination of Lopinavir Riton,neutral,opinion
982,KevinCChang Nordic_News coronaviruscare CoronaEnglish swissinfo_en HumanSecurityCH BAG_INT Covid19Norway Aftenposten LeTemps_Data srfnews RadioTeleSuisse Or maybe the best countries on testing,neutral,opinion
983,"Italy is in horrifying humanitarian crisis With one thousand and sixteen deaths amp fifteen thousand, one hundred and thirteen cases Italy s healthcare system is on the verge",neutral,reporting
984,DrJulie Olivia44074040 meetu029 Apple AppleTV corona coronaviruscare PneumoniaWuhan zehrabzn_ harveypetrescue COVIDUpdate2020 UtahCoronavirus DrJulieAC Hi Dr Julie what is your experience with COVID19 like so far You should meet DrJulieAC,neutral,opinion
985,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
986,KevinCChang Nordic_News coronaviruscare CoronaEnglish swissinfo_en HumanSecurityCH BAG_INT Covid19Norway Aftenposten LeTemps_Data srfnews RadioTeleSuisse Norway Health authorities and government is still advising people AGAINST wearing masks No wonder it is spreading like wildfire COVID19norway,neutral,opinion
987,Severity of COVID19 is directly related to size of inoculum A larger initial dose gets you a worse disease Explains,neutral,opinion
988,Save the World God coronaviruscare daveanthony hinasafi India CoronaVirusUpdates COVIDãƒ¼19 CoronaOutbreak ChinaCoronaVirus saveworld GoCoronaGo,neutral,opinion
989,Plzz guys take care coronaviruscare,neutral,opinion
990,Slowing the contagion rate means we will have some sick and some keeping things ticking over Not slowing means we all get sick at the same time Who will look after who coronaviruscare,neutral,opinion
991,aajtak ZeeNewsHindi IndiaToday coronaviruscare sardanarohit dna sudhirchaudhary SwetaSinghAT please escalate thi,neutral,opinion
992,More electron microscope images of the Novel coronavirus taken by Rocky Mountain Laboratories and other research faci,neutral,reporting
993,ayogunting covidperspectiv coronaviruscare YasminMogahed HussainAnwarr idillionaire You either run your day or the day runs you Go get it man,neutral,opinion
994,realDonaldTrump cnn coronaviruscare Piece of advice the Pres needs to lose the stupid looking baseball cap when he is talking about a potentially fatal illness Whether it says MAGA or USA just as foolish No clue about optics or anything else,anger,opinion
995,Corona virus seems to be china s master plan to reduce the after effects of one child Policy coronaviruscare narendramodi coronavirus WickedChina,neutral,opinion
996,Doctors in India claim to have successfully treated an Italian COVID19 patient with a combination of Lopinavir Riton,neutral,opinion
997,Morning media This is radio on NEWSTALK1010 on how coronaviruscare can also help humanity Ra,neutral,opinion
998,ReallySwara AamAadmiParty BJP4India anuragkashyap72 VishalDadlani INCIndia DrKumarVishwas Rangoli_A SrBachchan,neutral,opinion
999,Teams from the Health Department will monitor Bus Station and Railway Station and other public places and educate people on care and hygiene coronaviruscare UdaipurPolice,neutral,reporting
1000,A group of Dutch researchers from Erasmus Medical Center and Utrecht University have reported a human monoclonal antib,neutral,opinion
1001,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1002,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
1003,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1004,COVIDãƒ¼19 has killed close to six thousand people our hearts bleed However more than sixty-seven thousand people including in Wuhan have also,neutral,reporting
1005,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1006,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1007,BS China is now spreading the lie that the US is to blame for the coronavirus Where are their facts They have none,neutral,opinion
1008,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1009,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1010,Unpublished documents from the Chinese Communist regime reveal a 55yearold Wuhan patient suffering from the corona,neutral,opinion
1011,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1012,What is going on in WuhanZeng Zhujun works at Yangyuan Street in Wuhan s Diancun Village community to help fight against COVID19 How is her daily life in this special period by CGTN å´æ­Œ,neutral,opinion
1013,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1014,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1015,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1016,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1017,"RT for awareness there is one hundred and fifty-six thousand, eight hundred and eighty-five cases of Coronavirus worldwide If there is one hundred unknown cases for each one that makes fifteen million, six hundred and eighty-eight thousand, five hundred cases CoronaVirusUpdates coronaUK StayHome coronavirus panicshopping selfisolationgame COVID19 coronapocolypse outbreak Corona Wuhan",neutral,reporting
1018,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1019,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
1020,palkisu RomeshNadir Why not call it WuhanVirus and we can pay homage to the victims of Wuhan who had to face the br,neutral,opinion
1021,I just heard kids in Wuhan defeated an app used to assign them homework by spamming it with one star reviews until it got removed from the app store Kids of today,neutral,opinion
1022,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1023,Breaking News MIT Develops Cheaper And Faster COVID19 Diagnostic Test NewsPicks UK USA Covid_19 COVIDãƒ¼19 covid19australia Corona coronavirus CoronavirusPandemic coronawirus virus Wuhan Wu,neutral,opinion
1024,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1025,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1026,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1027,BoycottMulan in the UK You have my greatest respect thank you for standing with HumanRights and Democracy Fight agains,neutral,opinion
1028,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1029,China quarantined Wuhan on 22nd January2020 despite 1st case from Wuhan being reported on 10th Dec2019 COVID reflects C,neutral,reporting
1030,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1031,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1032,Unpublished documents from the Chinese Communist regime reveal a 55yearold Wuhan patient suffering from the corona,neutral,opinion
1033,Poor Europe is forced to live like this because the price of medical supplies here is skyrocketing thanks to CCPChina s di,neutral,opinion
1034,BS China is now spreading the lie that the US is to blame for the coronavirus Where are their facts They have none,neutral,opinion
1035,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1036,BS China is now spreading the lie that the US is to blame for the coronavirus Where are their facts They have none,neutral,opinion
1037,A citizen in Wuhan found grass growing on her car two months after the lockdown of the city coronavirus Covid_19 https,neutral,reporting
1038,China has passed peak of COVID19 All temporary hospitals in Wuhan closed life is back on track Salute to these brave,neutral,opinion
1039,palkisu RomeshNadir Why not call it WuhanVirus and we can pay homage to the victims of Wuhan who had to face the br,neutral,opinion
1040,While China now brags about how successfully they have controlled the coronavirus outbreak let us not forget how they,neutral,opinion
1041,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1042,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1043,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1044,Communists are responsible for this Pandemic called ChinaVirus from Wuhan BoycottChina MakeChinaPay for this crime pe,neutral,opinion
1045,girishalva Sanjay_Dixit Not just these one of the first ones getting CoronaVirus in India was one medical student who came,neutral,opinion
1046,Now that SA citizens are back from Wuhan we urgently need Govt to apply the same energy amp effort everywhere We need de,neutral,opinion
1047,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1048,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1049,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1050,Meanwhile in Wuhan Hubei everyone can return home Probably will not matter where you die Most important a totally bankrupt government can cut costs klky99,neutral,opinion
1051,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1052,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
1053,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1054,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1055,China quarantined Wuhan on 22nd January2020 despite 1st case from Wuhan being reported on 10th Dec2019 COVID reflects C,neutral,reporting
1056,BS China is now spreading the lie that the US is to blame for the coronavirus Where are their facts They have none,neutral,opinion
1057,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1058,Is it over Doctors take off masks after closing last temporary coronavirus center Wuhan,neutral,opinion
1059,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1060,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1061,Now that SA citizens are back from Wuhan we urgently need Govt to apply the same energy amp effort everywhere We need de,neutral,opinion
1062,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1063,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
1064,Poor Europe is forced to live like this because the price of medical supplies here is skyrocketing thanks to CCPChina s di,neutral,opinion
1065,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1066,BoycottMulan in the UK You have my greatest respect thank you for standing with HumanRights and Democracy Fight agains,neutral,opinion
1067,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
1068,COVIDãƒ¼19 has killed close to six thousand people our hearts bleed However more than sixty-seven thousand people including in Wuhan have also recovered it gives us hope amp gratitude for those putting their lives on the line We need to remain reasonable and calm act with caution,neutral,opinion
1069,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1070,We can call this weird if not a bombshell On Sep eighteen two thousand and nineteen Tianhe Airport in Wuhan did an emergency response drill,neutral,opinion
1071,Poor Europe is forced to live like this because the price of medical supplies here is skyrocketing thanks to CCPChina s di,neutral,opinion
1072,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1073,But to be safe let us close the border to any nation even our dear friends in Canada if they are not willing to restr,anger,opinion
1074,But they are no frauds Healing properties of Gomutra are proven and one hundred and thirty crore Indians are doing fine probably due to Ayur,neutral,reporting
1075,Manner in which China conned Italy is breathtaking Italians opened the doors to China only last year amp Chinese sent in,neutral,opinion
1076,In February two thousand and eighteen in Germany eighty-two thousand cases of viral flu and one hundred and thirty-six deaths had been reported I was there and our district hospi,neutral,reporting
1077,If ChinaVirus originated from Wuhan City of China and infected major countries of the world then why is global media,neutral,reporting
1078,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
1079,The situation in Qom Iran is much worse that we know I counted forty-three conservatively This is not anything like the flu,neutral,reporting
1080,freechina How long will it take for Chinese people to wake up and fight against the evil CCPChina regime chinesevirus,neutral,opinion
